1,abaca.png,Abaca,Abaka,"Abaca is a natural leaf fiber that comes from a relative of the banana tree family native to the Philippines that grows throughout tropical regions. It is also called Manilla hemp, though it is not related to actual hemp. Abaca is generally considered to be a sustainable, environmentally friendly fiber that can empower communities.","The plant grows to 13–22 feet (4.0–6.7 m), and averages about 12 feet (3.7 m). ",It is recommended that planting be done using the square method with a distance of 2.5 meters by 2.5 meters or 1.5 meters by 1.5 meters for varieties that are poor producers of suckers.,It is advisable to water plants once or twice a month during summer.,"2,3,5"
2,alugbati.png,Malabar Spinach,Alugbati,"Malabar spinach, or alugbati, is a tropical vine with thick, fleshy leaves that are often used in cooking as a leafy green. It is rich in vitamins A, C, and iron, and is known for its slightly mucilaginous texture when cooked. Alugbati is a staple in many Filipino dishes, such as ginataang alugbati and monggo. The leaves can be sautéed or added to soups and stews, and the plant is known for its heat tolerance, making it ideal for tropical climates. Its slightly bitter and earthy taste complements a variety of flavors.","Malabar spinach may be direct-seeded in tropical or temperate gardens if all danger of frost has passed and night temperatures are above 14o C (60o F). Plant seed 2.5 cm (1 in) deep, 2.5 cm (1 in) apart in rows 75 cm (2.5 ft) apart. Thin established seedlings to 30 cm (1 ft).","Malabar spinach may be seeded ¼ inch deep in rows spaced 12 to 18 inches apart, with 1 to 2 inches between seeds, and thinned to 6 inches between adjacent plants (Ernst 2017). It may take two to three weeks to germinate the seeds at the optimal temperature of 65°F–75°F (Cornell 2006).",Malabar spinach plants need regular watering during the growing season. Do not let soil dry out; keep soil evenly moist but not waterlogged. Water deeply in the early morning or late afternoon. Avoid watering the leaves of plants to avoid fungal diseases.,"3,5"
3,ampalaya.png,Bitter Gourd,Ampalaya,"Bitter gourd is a tropical vine that produces a distinctively bitter fruit. Shaped like a bumpy cucumber, this vegetable is commonly used in Asian and African cuisines. It contains high levels of vitamin C, folate, and potassium, making it a nutritious addition to the diet. Its bitterness comes from compounds believed to lower blood sugar, and it has long been used in traditional medicine to manage diabetes. Bitter gourd can be sautéed, stir-fried, or incorporated into soups and stews, often paired with strong flavors to balance its intense taste..","The seeds are sown at 0.5inch depth in the soil, one per pit and a gap of 12 inches between seeds is required. If using a container, a 12 inch depth container will be sufficient to grow the bitter gourd. Depending on the weather, the seeds will take about 2-3 days to germinate.","On raised beds, sow two or three seeds per hole at a depth of 2 cm. Space holes 40–60 cm apart in rows spaced 1.2–1.5 m apart. Plant density using this spacing will range from 13,600 to 17,300 plants per hectare.",Keeping bitter gourd planting beds evenly moist is required for good fruit development. Gently water the soil during mornings or evenings when the soil feels dry on touch.,"2,3,5"
4,asparagus.png,Asparagus,Asparagus,"Asparagus, Asparagus officinalis, is an herbaceous perennial plant in the family Asparagaceae which is grown for its young shoots, or spears, which are eaten as a vegetable. The asparagus plant is tall with scale like leaves emerging from the underground stem (rhizome) and has stout stems and feathery foliage. The flowers are bell shaped and occur alone or in pairs. They are green-white to yellow in color. After flowering, a round red berry is formed with 1 to 6 black seeds. Asparagus can live for 20 or more years and can attain a height between 100–150 cm (39.4–59.1 in). Asparagus originates from Europe, northern Africa, and western Asia.","Asparagus crowns are planted in trenches 10 inches wide and 8 inches deep (top). As the young shoots start to grow, continue to add small amounts of soil to fill in the trench without burying the young ferns (bottom). By the end of the season, the trench should be filled to the top.","Dig the planting area at least 6- to 12-inches deep and about 12-inches wide. Space individual asparagus plants 12- to 18-inches apart for room to grow. If you are digging rows for your asparagus plants, they can be as long as needed for the quantity you're planting.","Asparagus needs regular watering, especially while young; give it 1 to 2 inches of water per week during its first two growing seasons; give older plants about 1 inch per week. Consider adding drip irrigation or a soaker hose to the asparagus bed.",5
5,atis.png,Sugar apple,Atis,"The fruit is composed of loosely cohering segments, which project as rounded protuberances and are easily separated when the fruit is ripe. The pulp of green and purplish-red sugar apples is white or creamy white, with a custard-like consistency and sweet, pleasant flavor.","Dig a hole 3 to 4 times the diameter and 3 times as deep as the container the sugar apple tree came in. Making a large hole loosens the soil next to the new tree making it easy for the roots to expand into the adjacent soil. It is not necessary to apply fertilizer, topsoil, or compost to the hole.",Sugar apple trees make an attractive tree in the home landscape. Sugar apple trees should be planted in full sun and at least 15 to 20 ft (4.6-6.1 m) from adjacent trees and structures and power lines.,"Generally, you'll water about once a week. But if you're not sure when to water, simply check your soil about 2 inches down. If the soil is dry here, it's time to water your tree. For container-planted trees, water until you see drainage from your pot's drainage holes.",5
6,basil.png,Basil,Balanoy,"Basil belongs to the genus Ocimum. Basil is also a common name for several plants in the genera Acinos (e.g., Acinos arvensis, basil thyme) and Clinopodium (e.g., Clinopodium vulgare, wild basil). In addition to cultural and traditional rituals, basil is one of the most popular herbs in the cooking and food network with its wide range of applications, especially in food flavoring and preservation.",The bed or garden container should be at least 8 inches deep for strong root growth. Space your basil plants 12 to 16 inches apart to allow plenty of sunlight and airflow.,"Thin basil to a spacing of 3 to 4 inches (8-10 cm) when the seedlings have two to three pairs of leaves, not counting the tiny seedling leaves. Continue to thin the plants as they grow. By the time the basil is mature, the plants should be spaced about 12 inches (30 cm) apart.","Water regularly. Basil likes to stay moist and requires approximately 1 inch of water every week. Water deeply at least once a week to keep roots growing deep and the soil moist. Basil growing in containers will need more frequent watering. Your goal when growing basil in a container is to keep the soil from drying out.",3
7,balatong.png,Bean,Balatong,"Balatong, commonly referred to as string beans in the Philippines, are long, slender green pods known for their versatility in cooking. They are rich in vitamins A, C, and K, as well as dietary fiber, making them a healthy addition to meals. Popular in Filipino dishes like adobong sitaw and pinakbet, balatong can be steamed, stir-fried, or added to soups. With their mild flavor and crunchy texture, they are both nutritious and easy to incorporate into various recipes.","Normal sowing depth is about 5 to 7 cm. Spacing depends on variety. Bush types (erect) normally have a plant and row spacing of 5 to 10 x 50 to 75 cm, while pole-type (climbing) are 10 to 15 x 90 to 150 cm. Pole beans are also often grown on hills spaced 90 to 120 cm apart.","For bush beans, plant the seeds about 1-1.5 inches deep, maybe 2 inches deep in the summer for a fall planting. The rows should be 2.5 to 3 feet apart. After the beans are up, thin the plants to 3 to 4 inches apart. For pole beans, plant 1 inch deep and 3 feet apart.",Bean plants need at least 1/2″ of water per day during the blooming period and water every day. Using drip irrigation is always recommended to be sure that your bean plants are getting moisture directly to their root system.,"2,3,4"
8,balimbing.png,Carambola,Balimbing,"Carambola, commonly known as starfruit due to its distinctive star-shaped cross-section, is a tropical fruit that has a tart, citrusy flavor with hints of apple and pear. It is rich in vitamin C, antioxidants, and dietary fiber, making it a healthy addition to the diet. Native to Southeast Asia, starfruit is often eaten fresh, used in salads, or made into juices and preserves. Its unique shape makes it popular for garnishing dishes, while its high water content provides hydration. Although starfruit is generally safe to eat, it contains oxalates, which may be harmful to people with kidney issues.","The Carambola tree is slow-growing, short-trunked with a much-branched, bushy, broad, rounded crown and reaches 20 to 30 ft (6-9 m) in height. There are 2 distinct classes of Carambola–the smaller, very sour type, richly flavored, with more oxalic acid; the larger, so-called ""sweet"" type, mild-flavored, rather bland, with less oxalic acid.",Carambola trees in the home landscape should be planted 20 to 30 feet or more (7.6 to 9.1 m) away from buildings and other trees. Trees planted too close to other trees or structures may not grow normally or produce much fruit due to shading.,"How often to water your Star Fruit. Star Fruit needs 0.8 cups of water every 9 days when it doesn't get direct sunlight and is potted in a 5.0"" pot.",3
9,barley.png,Barley,Barley,"It is the fourth most important cereal crop after rice, wheat and maize. It's converted into malt to use for various food preparations. Barley is widely used for food and fodder. Major uses of barley are in the beer industry, food processing and feed manufacturing industries. With the rising demand for beer, the demand for barley is also picking up. Also, more than 90% of the world malt production comes from barley. Globally, some of the major producers of barley are the European Union, Russia, Ukraine, Canada, Australia and USA, forming about 75% of the world production.",Seeding depth for barley or oat should be no greater than 5 cm (2 in).,"The most common method of sowing barley is the usual row with a spacing of 15 – 20 cm and with a critical distance of 1.4 cm between plants. At a shorter distance, the potential of both individual plants and crops as a whole will not be fulfilled.","During the stage of reproductive growth, water needs and use remain high. After the heading stage, barley will keep using 7 to 8 mm/day of water or 0.27 to 0.31 in/day until the stage of flowering and grain filling (under ideal growth conditions).",5
10,bataw.png,Hyacinth Bean,Bataw,"Plant seeds 1 -1/2 inches deep. When you begin to see sprouting, thin to a spacing of 6 inches. Hyacinth Bean will germinate in 2-3 weeks.","Plant seeds 1 -1/2 inches deep. When you begin to see sprouting, thin to a spacing of 6 inches. Hyacinth Bean will germinate in 2-3 weeks.",Provide a strong light source until seedlings are ready to plant outdoors. Transplant very carefully once nights stay above 50°F (10°C) before plants get too crowded. Space seedlings 6 to 8 inches apart.,"Hyacinth Bean needs 0.8 cups of water every 9 days when it doesn't get direct sunlight and is potted in a 5.0"" pot. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.","2,3,5"
11,bawang.png,Garlic,Bawang,"Garlic is a pungent, flavorful bulb used extensively in cooking for its aroma and taste. It is a key ingredient in many Filipino dishes such as adobo and sinigang. Garlic contains allicin, a compound known for its medicinal properties, including antibacterial, antiviral, and anti-inflammatory effects. It is also rich in vitamins C and B6, manganese, and selenium, contributing to heart health, immune function, and blood pressure regulation. Garlic can be used raw, sautéed, roasted, or even fermented, offering a range of flavors from sharp and spicy to sweet and mild.","Plant your cloves 2-4” deep and at least 4-8” apart. To grow the largest bulbs, consider spacing your plants 6-12” apart. Elephant garlic should be planted 4-6” deep and 12” apart. Occasionally, a fall planted elephant garlic bulb will fail to divide into segments.","Plant your cloves 2-4” deep and at least 4-8” apart. To grow the largest bulbs, consider spacing your plants 6-12” apart. Elephant garlic should be planted 4-6” deep and 12” apart. Occasionally, a fall planted elephant garlic bulb will fail to divide into segments.","Too little water can stress plants, and too much water can cause bulb rot. In soil with ideal drainage, garlic requires between a half-inch and one inch of water per week. If it rains less than a half-inch in a week, make up the difference with supplemental watering. It is best to water deep, but infrequently.",2
